,Cand,party,num,cand_status
346,Боташов Рухулло Абдуллажанович,Улуттар биримдиги,49.0,True
347,Низамиев Абдурашит Гумарович,Улуттар биримдиги,50.0,True
348,Тапвалдиева Дилноза Абдивосиловна,Улуттар биримдиги,52.0,True
349,Курманбек кызы Наргиза,Улуттар биримдиги,53.0,True
350,Джаркимбаева Асель Советовна,Улуттар биримдиги,54.0,True
351,Айтымбетов Эрнис Жамадилович,Ынтымак,31.0,True
352,Мамасадыков Замирбек Дуйшалыевич,Ыйман Нуру,13.0,True
353,Султанкулов Нурадин Калыйнурович,Ыйман Нуру,14.0,True
354,Еланцева Ирина Сергеевна,Ыйман Нуру,16.0,True
355,Ахмедов Канатбек Абдурашидович,Ынтымак,33.0,True
356,Малабеков Данияр Турусбекович,Ынтымак,34.0,True
357,Камбаров Талант Бекенович,Ыйман Нуру,53.0,True
358,Казматов Канатбек Кубанычбекович,Ыйман Нуру,17.0,True
359,Умарахунов Исакжан Адылович,Ыйман Нуру,18.0,True
360,Дамиров Кубанычбек Дамирович,Ыйман Нуру,19.0,True
361,Эргешов Байгазы Анаркулович,Ынтымак,35.0,True
362,Туроходжаева Виктория Исламжановна,Ыйман Нуру,20.0,True
363,Усупов Улан Саламатович,Ыйман Нуру,21.0,True
364,Мукашев Эрмек Жайлообаевич,Ыйман Нуру,22.0,True
365,Бекботоев Темирлан Сарымсакович,Ыйман Нуру,23.0,True
366,Алиева Фидан Мирзабабаевна,Ынтымак,36.0,True
367,Маматтайр уулу Элдияр,Ыйман Нуру,25.0,True
368,Зазаза Зульфия Бекаровна,Ыйман Нуру,26.0,True
369,Төрөбеков Максатбек Асилбекович,Ыйман Нуру,27.0,False
370,Тагаев Мыктыбек Исманалиевич,Ынтымак,37.0,True
371,Бакиров Таалайбек Октябревич,Ынтымак,38.0,True
372,Базаралиев Абдижалил Кермалиевич,Ынтымак,39.0,True
373,Барыктабасова Бермет Касымбековна,Ынтымак,40.0,True
374,Шаршембиев Бектурган Асанович,Ордо,47.0,True
375,Бакасов Тагайбек Самарканович,Ынтымак,41.0,True
376,Саттаров Рахимджан Шарипович,Ынтымак,42.0,True
377,Калмурзаев Тимур Абдылдаевич,Ынтымак,43.0,True
378,Мурзабаева Айтбү Бусурманкуловна,Ордо,8.0,True
379,Раимбердиев Досмухамед Эркинбаевич,Ата-Журт Кыргызстан,45.0,True
380,Урумкалиева Чинара Чалагызовна,Ынтымак,44.0,True
381,Уметалиев Мирбек Сарылбекович,Ата-Журт Кыргызстан,47.0,True
382,Каримов Тариел Келдибекович,Ынтымак,47.0,True
383,Сарысейитова Бактыгул Токтоболотовна,Ата-Журт Кыргызстан,48.0,True
